类型,mean,count
1978(中国大陆),9.4,1
历史,9.328571428571427,7
纪录片,9.3,1
战争,9.2125,8
中国大陆,9.2,1
音乐,9.180000000000001,5
科幻,9.10909090909091,11
家庭,9.100000000000001,9
犯罪,9.090909090909092,22
传记,9.088888888888889,9
剧情,9.085217391304347,115
同性,9.05,4
歌舞,9.05,4
灾难,9.05,2
冒险,9.03125,32
动画,9.013636363636364,22
奇幻,9.00344827586207,29
儿童,9.0,2
运动,9.0,1
喜剧,8.996969696969696,33
爱情,8.99189189189189,37
悬疑,8.9875,16
动作,8.98235294117647,17
惊悚,8.961111111111112,18
西部,8.9,2
古装,8.9,5
武侠,8.8,1
情色,8.8,2
