类型1,类型2,共现次数
剧情,爱情,31
剧情,犯罪,21
剧情,喜剧,21
冒险,奇幻,19
剧情,惊悚,16
冒险,动画,16
剧情,悬疑,14
悬疑,惊悚,13
动画,奇幻,12
喜剧,爱情,12
剧情,动作,11
惊悚,犯罪,10
冒险,剧情,10
传记,剧情,9
剧情,家庭,9
奇幻,爱情,8
剧情,奇幻,8
剧情,战争,8
动画,喜剧,8
冒险,喜剧,8
剧情,历史,7
喜剧,奇幻,7
冒险,动作,7
悬疑,犯罪,6
剧情,科幻,6
动作,科幻,5
动作,惊悚,5
动作,奇幻,5
剧情,动画,5
冒险,科幻,5
动作,犯罪,5
惊悚,科幻,4
古装,爱情,4
古装,喜剧,4
剧情,同性,4
剧情,音乐,4
同性,爱情,4
动作,喜剧,3
动画,爱情,3
喜剧,犯罪,3
历史,战争,3
动画,科幻,3
悬疑,科幻,3
剧情,歌舞,3
古装,奇幻,3
犯罪,科幻,2
歌舞,爱情,2
喜剧,音乐,2
动作,悬疑,2
动作,西部,2
剧情,西部,2
冒险,悬疑,2
传记,战争,2
动画,悬疑,2
家庭,爱情,2
战争,爱情,2
传记,历史,2
剧情,情色,2
传记,家庭,2
动画,惊悚,2
传记,音乐,2
动作,动画,1
喜剧,家庭,1
历史,喜剧,1
喜剧,科幻,1
同性,家庭,1
传记,动作,1
动作,历史,1
冒险,西部,1
动作,战争,1
动画,犯罪,1
动作,灾难,1
奇幻,悬疑,1
古装,武侠,1
武侠,爱情,1
儿童,冒险,1
儿童,动画,1
剧情,古装,1
儿童,喜剧,1
儿童,奇幻,1
情色,爱情,1
奇幻,武侠,1
传记,运动,1
儿童,家庭,1
冒险,家庭,1
喜剧,歌舞,1
喜剧,战争,1
动画,音乐,1
奇幻,音乐,1
灾难,爱情,1
剧情,灾难,1
历史,家庭,1
历史,爱情,1
喜剧,西部,1
冒险,爱情,1
传记,犯罪,1
儿童,剧情,1
剧情,运动,1
家庭,运动,1
战争,音乐,1
传记,喜剧,1
冒险,歌舞,1
动画,歌舞,1
传记,歌舞,1
传记,爱情,1
情色,战争,1
奇幻,犯罪,1
惊悚,灾难,1
